voted_for,age_group,gender,education,race,religion
Trump,65+,Male,4-year,White,Protestant
Biden,65+,Male,High school graduate,White,Protestant
Trump,45-65,Female,Some college,White,Roman Catholic
Biden,30-44,Male,4-year,White,Roman Catholic
Trump,45-65,Male,2-year,White,Protestant
Biden,65+,Male,4-year,White,Atheist
Biden,45-65,Male,2-year,White,Roman Catholic
Biden,65+,Male,Some college,White,Agnostic
Biden,45-65,Female,Some college,White,Other
Trump,65+,Male,High school graduate,White,Protestant
Trump,65+,Male,2-year,White,Other
Trump,65+,Male,4-year,White,Protestant
Trump,65+,Female,High school graduate,Hispanic,Protestant
Trump,18-29,Female,High school graduate,White,Atheist
Biden,30-44,Female,4-year,Black,Protestant
Biden,65+,Male,2-year,White,Atheist
Biden,65+,Male,2-year,White,Roman Catholic
Biden,30-44,Male,High school graduate,Middle Eastern,Roman Catholic
Biden,45-65,Male,4-year,White,Protestant
Biden,45-65,Male,4-year,White,None
Trump,65+,Male,High school graduate,White,Protestant
Biden,45-65,Female,Some college,White,None
Biden,65+,Male,High school graduate,White,Jewish
Biden,45-65,Female,Some college,White,Agnostic
Trump,65+,Female,High school graduate,White,Protestant
Trump,45-65,Male,4-year,White,Protestant
Trump,65+,Male,4-year,White,Protestant
Biden,45-65,Female,Some college,White,None
Trump,65+,Male,4-year,White,Protestant
Biden,65+,Male,4-year,White,None
Trump,45-65,Male,4-year,White,Protestant
Biden,45-65,Male,4-year,Black,Protestant
Biden,65+,Female,High school graduate,Hispanic,Roman Catholic
Biden,45-65,Male,4-year,White,None
Trump,30-44,Male,Some college,White,Protestant
Trump,65+,Female,High school graduate,White,Protestant
Biden,65+,Female,2-year,White,Protestant
Biden,65+,Male,4-year,White,Protestant
Biden,45-65,Male,Some college,Black,None
Biden,18-29,Female,4-year,Black,Protestant
Biden,45-65,Female,High school graduate,White,Other
Biden,45-65,Male,2-year,Black,Protestant
Biden,30-44,Male,4-year,Black,Protestant
Biden,45-65,Female,2-year,White,Other
Biden,30-44,Male,4-year,White,Agnostic
Trump,45-65,Male,No HS,White,Protestant
Biden,30-44,Female,Post-grad,Multiracial,None
Trump,45-65,Male,Some college,Black,Protestant
Trump,45-65,Male,High school graduate,White,Protestant
Trump,18-29,Female,2-year,White,Protestant
Trump,65+,Male,High school graduate,White,Protestant
Trump,45-65,Female,High school graduate,White,Atheist
Biden,45-65,Female,High school graduate,White,None
Biden,45-65,Male,4-year,White,None
Trump,30-44,Female,High school graduate,White,Agnostic
Biden,30-44,Male,4-year,White,Protestant
Biden,30-44,Female,2-year,White,Other
Biden,30-44,Female,Some college,Hispanic,Other
Biden,45-65,Male,High school graduate,White,None
Trump,45-65,Female,No HS,Native American,Other
Biden,45-65,Male,High school graduate,White,Agnostic
Biden,45-65,Male,High school graduate,White,Protestant
Trump,30-44,Male,4-year,White,Protestant
Biden,65+,Female,High school graduate,White,Roman Catholic
Trump,45-65,Male,2-year,White,Agnostic
Trump,65+,Female,High school graduate,White,Roman Catholic
Trump,65+,Male,Post-grad,White,Protestant
Trump,65+,Female,Some college,White,Protestant
Trump,45-65,Female,4-year,White,Agnostic
Biden,30-44,Male,Post-grad,White,Agnostic
Trump,65+,Female,High school graduate,White,Protestant
Trump,30-44,Female,2-year,White,Protestant
Biden,45-65,Female,No HS,White,Protestant
Biden,30-44,Female,Post-grad,Hispanic,Atheist
Biden,65+,Female,2-year,White,Roman Catholic
Biden,45-65,Male,No HS,White,Agnostic
Trump,45-65,Male,Some college,Black,Protestant
Trump,30-44,Female,High school graduate,White,None
Trump,65+,Male,Post-grad,White,Roman Catholic
Biden,30-44,Female,Some college,Native American,None
Biden,45-65,Male,2-year,Hispanic,Roman Catholic
Biden,18-29,Male,High school graduate,White,Atheist
Biden,45-65,Male,4-year,White,Agnostic
Trump,18-29,Female,4-year,White,Roman Catholic
Biden,65+,Female,High school graduate,White,Atheist
Trump,18-29,Female,Some college,White,Agnostic
Trump,45-65,Male,Some college,White,None
