voted_for,age_group,gender,education,race,religion,household_gun_ownership,student_loan_status
Biden,18-29,Female,Some college,White,Protestant,Yes,No
Biden,45-64,Male,Post-grad,Black,Protestant,Yes,No
Trump,45-64,Female,Some college,White,Protestant,Unsure,No
Biden,65+,Female,Post-grad,White,Other,No,No
Trump,45-64,Female,High school graduate,Multiracial,Other,Yes,No
Biden,45-64,Male,4-year,White,Atheist,Yes,No
Trump,65+,Male,4-year,White,Protestant,Yes,No
Trump,65+,Male,Post-grad,White,Agnostic,Unsure,No
Trump,45-64,Female,Post-grad,White,Protestant,Yes,No
Trump,65+,Male,4-year,White,Protestant,Yes,No
Biden,30-44,Female,Some college,Middle Eastern,None,No,No
Biden,30-44,Male,Some college,White,Atheist,No,Yes
Biden,30-44,Male,4-year,White,None,No,No
Trump,65+,Female,4-year,White,Protestant,Yes,No
Trump,45-64,Male,2-year,White,Protestant,Yes,No
Biden,65+,Female,2-year,White,Roman Catholic,No,No
Trump,45-64,Female,4-year,White,Protestant,Yes,No
Biden,18-29,Female,2-year,White,Protestant,Yes,No
Trump,45-64,Female,2-year,White,Protestant,No,No
Biden,45-64,Female,Post-grad,White,Protestant,Yes,No
Trump,30-44,Female,4-year,White,Protestant,Yes,Yes
Biden,65+,Male,Post-grad,White,Roman Catholic,No,Yes
Trump,65+,Female,High school graduate,White,Other,Unsure,No
Trump,65+,Male,High school graduate,Multiracial,Protestant,Yes,No
Biden,65+,Female,4-year,White,Protestant,No,No
Biden,45-64,Female,Some college,Black,Protestant,No,Yes
Biden,65+,Female,Some college,White,Protestant,No,No
Biden,30-44,Female,4-year,White,Atheist,No,Yes
Trump,45-64,Male,2-year,Asian,Roman Catholic,Yes,No
Biden,18-29,Male,2-year,Black,None,No,Yes
Biden,30-44,Male,Post-grad,White,Atheist,No,No
Biden,18-29,Female,4-year,White,Protestant,No,No
Biden,45-64,Male,Post-grad,White,Agnostic,No,No
